ShortCode,Region,TeamName,League,Division,City,Stadium,Logo,Latitude,Longitude
ARI,Arizona,Cardinals,NFC,West,"Glendale, Arizona",University of Phoenix Stadium,ARI.png,33.5386523,-112.1859866
ATL,Atlanta,Falcons,NFC,South,"Atlanta, Georgia",Mercedes-Benz Stadium,ATL.png,33.7489954,-84.3879824
BAL,Baltimore,Ravens,AFC,North,"Baltimore, Maryland",M&T Bank Stadium,BAL.png,39.2850948,-76.6082871
BUF,Buffalo,Bills,AFC,East,"Buffalo, New York",New Era Stadium,BUF.png,42.88644679999999,-78.8783689
CAR,Carolina,Panthers,NFC,South,"Charlotte, North Carolina",Bank of America Stadium,CAR.png,35.2270869,-80.8431267
CHI,Chicago,Bears,NFC,North,"Chicago, Illinois",Soldier Field ,CHI.png,41.8781136,-87.6297982
CIN,Cincinnati,Bengals,AFC,North,"Cincinnati, Ohio",Paul Brown Stadium,CIN.png,39.1031182,-84.5120196
CLE,Cleveland,Browns,AFC,North,"Cleveland, Ohio",FirstEnergy Stadium,CLE.png,41.49932,-81.6943605
DAL,Dallas,Cowboys,NFC,East,"Arllington, Texas",AT&T Stadium,DAL.png,32.735687,-97.10806559999999
DEN,Denver,Broncos,AFC,West,"Denver, Colorado",Empower Field at Mile High,DEN.png,39.7392358,-104.990251
DET,Detroit,Lions,NFC,North,"Detroit, Michigan",Ford Field,DET.png,42.331427,-83.0457538
GB,Green Bay,Packers,NFC,North,"Greenbay, Wisconsin",Lambeau Field,GB.png,44.5133188,-88.0132958
HOU,Houston,Texans,AFC,South,"Houston, Texas",NRG Stadium,HOU.png,29.7604267,-95.3698028
IND,Indianapolis,Colts,AFC,South,"Indianapolis, Indiana",Lucas Oil Stadium,IND.png,39.768403,-86.158068
JAX,Jacksonville,Jaguars,AFC,South,"Jacksonville, Florida",EverBank Field,JAX.png,30.3321838,-81.65565099999999
KC,Kansas City,Chiefs,AFC,West,"Kansas City, Missouri",Arrowhead Stadium,KC.png,39.0997265,-94.5785667
LAC,Los Angeles,Chargers,AFC,West,"Los Angeles, California",StubHub Center,LAC.png,34.0522342,-118.2436849
LAR,Los Angeles,Rams,NFC,West,"Los Angeles, California",Los Angeles Coliseum,LAR.png,34.0522342,-118.2436849
MIA,Miami,Dolphins,AFC,East,"Miami Gardens, Florida",Hard Rock Stadium,MIA.png,25.9420377,-80.2456045
MIN,Minnesota,Vikings,NFC,North,"Minneapolis, Minnesota",U.S. Bank Stadium,MIN.png,44.977753,-93.2650108
NE,New England,Patriots,AFC,East,"Foxborough, Massachussetts",Gillette Stadium,NE.png,42.0653812,-71.2478251
NO,New Orleans,Saints,NFC,South,"New Orleans, Louisiana",Mercedes-Benz Superdome,NO.png,29.95106579999999,-90.0715323
NYG,New York,Giants,NFC,East,"East Rutherford, New Jersey",MetLife Stadium,NYG.png,40.833989,-74.0970865
NYJ,New York,Jets,AFC,East,"East Rutherford, New Jersey",MetLife Stadium,NYJ.png,40.833989,-74.0970865
OAK,Oakland,Raiders,AFC,West,"Oakland, California",Oakland Alameda Coliseum,OAK.png,37.7986414,-122.2636106
PHI,Philadelphia,Eagles,NFC,East,"Philadelphia, Pennsylvania",Lincoln Financial Field,PHI.png,39.9525839,-75.1652215
PIT,Pittsburgh,Steelers,AFC,North,"Pittsburgh, Pennsylvania",Heinz Field,PIT.png,40.44062479999999,-79.9958864
SF,San Francisco,49ers,NFC,West,"Santa Clara, California",Levi's Stadium,SF.png,36.778261,-119.4179324
SEA,Seattle,Seahawks,NFC,West,"Seattle, Washington",CenturyLink Field,SEA.png,47.6062095,-122.3320708
TB,Tampa Bay,Buccaneers,NFC,South,"Tampa, Florida",Raymond James Stadium,TB.png,27.950575,-82.4571776
TEN,Tennessee,Titans,AFC,South,Nashville Tennessee,Nissan Stadium,TEN.png,36.1591736,-86.7784959
WAS,Washington,********,NFC,East,"Landover, Maryland",FedEx Field,WAS.png,38.9340002,-76.8966397
